h1_cplx_snr_amp	h1_cplx_snr_arg	h1_optimal_snr	l1_cplx_snr_amp	l1_cplx_snr_arg	l1_optimal_snr	lal_approximant	using_fast_sgf	amp_beta1	amp_beta2	amp_beta3	dec	deltalogl	deltaloglh1	deltalogll1	logl	logprior	loghrss	logw	matched_filter_snr	mtotal	mtotal_ref	optimal_snr	phi_orb	phase_beta1	phase_beta2	phase_beta3	alpha	psi	ra	signalmodelflag	theta_jn	time	
3.42948469905544e+01	3.21051275447780e-02	3.32707303392118e+01	3.87996619080598e+01	-5.66578280623890e-02	3.92753610022174e+01	0.00000000000000e+00	0.00000000000000e+00	3.99281218108568e-01	-9.18246465081340e+01	3.14942921708761e+02	6.12368307864910e-02	1.33710435942293e+03	5.86955863853698e+02	7.50148495569232e+02	-2.30272720771522e+03	1.54640208591773e+02	-5.12140282465039e+01	-4.92898164513692e+01	5.17133091882184e+01	3.17615413386883e+02	1.00000000000000e+02	5.14732501320740e+01	4.45235490632839e+00	-2.12635016573224e+01	-1.14319300923287e+01	4.75940462162554e+02	5.55800955089307e+00	1.94691880118769e+00	3.42477183322275e+00	1.00000000000000e+00	4.79066625360120e-01	1.12662118408125e+09	
3.43954993547254e+01	1.04796125042549e-01	3.32593253376339e+01	3.88470308306372e+01	-6.36397638963500e-03	3.68656207872353e+01	0.00000000000000e+00	0.00000000000000e+00	-5.14115682418488e-01	-1.04006527579250e+02	3.16755632139649e+02	4.58992417125800e-02	1.33715772221556e+03	5.84603813387599e+02	7.52553908827965e+02	-2.30267384492258e+03	1.54939421755326e+02	-5.13134918318639e+01	-4.97504946223136e+01	5.17566188474428e+01	3.21262075528232e+02	1.00000000000000e+02	4.96513516225169e+01	3.58105159673485e+00	-1.03644337224561e+01	1.02594674689896e+02	4.42815954104169e+02	2.68579043591135e+00	2.35101595115312e+00	3.44703979389760e+00	1.00000000000000e+00	3.70119875751234e-01	1.12662118408043e+09	
3.42635190302406e+01	1.20747475442429e-01	3.33133679600235e+01	3.89823542123603e+01	1.52620388612060e-02	3.77886020508557e+01	0.00000000000000e+00	0.00000000000000e+00	5.22341839000512e-01	-1.05111828097071e+02	3.23773886066157e+02	5.04122756523360e-02	1.33715994654705e+03	5.78232058506404e+02	7.58927888040643e+02	-2.30267162059110e+03	1.53982189264457e+02	-5.09944868339385e+01	-5.05335832004795e+01	5.17315864376254e+01	3.21480101898421e+02	1.00000000000000e+02	5.03761742274843e+01	1.97785280412080e+00	3.33797130601547e+00	6.08922825025392e+01	4.87325970708700e+02	1.52619112505971e+00	2.50872208137711e-01	3.43843397887673e+00	1.00000000000000e+00	8.82006324024470e-01	1.12662118408138e+09	
3.40551707685046e+01	3.07216428370940e-02	3.48573842785805e+01	3.89555270582330e+01	-7.89586110934400e-03	3.98878016548222e+01	0.00000000000000e+00	0.00000000000000e+00	-2.53385830342034e-01	-9.09774980323405e+01	2.99034528221457e+02	6.22828894772430e-02	1.33727894643161e+03	5.78995407055768e+02	7.58283539375839e+02	-2.30255262070654e+03	1.54726239381871e+02	-5.12427267387731e+01	-4.71275770358619e+01	5.17310243301364e+01	3.22402573598038e+02	1.00000000000000e+02	5.29723886529489e+01	1.92480826696592e+00	-4.78497968532611e+01	9.49033128804929e+01	4.71950133274582e+02	3.55749756418115e+00	1.58705690053907e+00	3.44012743176368e+00	1.00000000000000e+00	2.45052937600553e-01	1.12662118408112e+09	
3.40717668573742e+01	4.56114382586220e-02	3.19254770515029e+01	3.90606116500067e+01	-5.17304276855340e-02	3.79611017057176e+01	0.00000000000000e+00	0.00000000000000e+00	9.29939334243499e-01	-1.00870267805360e+02	2.95907084912204e+02	6.31489599385050e-02	1.33728575776097e+03	5.77008077521449e+02	7.60277680239524e+02	-2.30254580937717e+03	1.54745943314979e+02	-5.12493128457224e+01	-4.91847440582140e+01	5.17613531264957e+01	3.41186655959678e+02	1.00000000000000e+02	4.96012230461899e+01	5.99212034706630e+00	-1.80906168305214e+01	1.52495154017149e+02	4.88995865666843e+02	1.99453421579553e+00	2.73203638113945e+00	3.42246368449054e+00	1.00000000000000e+00	4.55374273634086e-01	1.12662118408112e+09	
3.40236817130768e+01	6.52488978911250e-02	3.50836522691327e+01	3.90524903250325e+01	-2.74390362708610e-02	3.98180333280095e+01	0.00000000000000e+00	0.00000000000000e+00	7.13986286034589e-01	-9.89551509894170e+01	3.06391917650660e+02	5.29729275993410e-02	1.33737373525613e+03	5.75703604084798e+02	7.61670131171333e+02	-2.30245783188201e+03	1.54583894489883e+02	-5.11950994040336e+01	-4.97419437631608e+01	5.17351629578815e+01	3.23912532289400e+02	1.00000000000000e+02	5.30691853588492e+01	5.46806508905650e+00	-1.00486792359017e+01	1.97577560363366e+02	4.46527701274258e+02	8.31621820568300e-02	2.63531346073317e+00	3.43904415184374e+00	1.00000000000000e+00	4.40045125036037e-01	1.12662118408088e+09	
3.43513554617868e+01	3.71692193831470e-02	3.17085096648901e+01	3.87952544374531e+01	-2.69634682156330e-02	3.79654319907034e+01	0.00000000000000e+00	0.00000000000000e+00	-2.50591275832856e-01	-1.23008859138077e+02	3.61461887078352e+02	6.94030000100650e-02	1.33741936795380e+03	5.85763167173895e+02	7.51656200779901e+02	-2.30241219918435e+03	1.55315815768582e+02	-5.14394086975729e+01	-5.07626936431879e+01	5.17701824592477e+01	3.18831039971067e+02	1.00000000000000e+02	4.94651757442461e+01	4.67065074072616e+00	7.27620935821161e-01	-6.27242689217720e+01	4.92762825014225e+02	5.49542661765386e+00	1.01135238526693e+00	3.42131083951243e+00	1.00000000000000e+00	4.37609898080928e-01	1.12662118408148e+09	
3.41169149693024e+01	3.10229528916070e-02	3.33540648252223e+01	3.89061172946918e+01	1.47202238070100e-02	3.80478357242821e+01	0.00000000000000e+00	0.00000000000000e+00	-4.12104789920967e-01	-1.04584767242711e+02	3.39509440064860e+02	6.32800432297400e-02	1.33745771020536e+03	5.81143428159073e+02	7.56314282046284e+02	-2.30237385693279e+03	1.55189827303538e+02	-5.13972769410488e+01	-4.98353675365139e+01	5.17320211351646e+01	3.03564652163976e+02	1.00000000000000e+02	5.05977414878084e+01	5.95583415197992e+00	1.91950886824293e+01	-1.82182933448907e+02	4.99797557481742e+02	2.01621255773354e+00	2.63027170087867e-01	3.44144552386249e+00	1.00000000000000e+00	2.38869103031037e-01	1.12662118408139e+09	
3.41426552947933e+01	1.42396351967293e-01	3.26953809129276e+01	3.91822796844547e+01	-6.63761847371000e-03	3.80877981923075e+01	0.00000000000000e+00	0.00000000000000e+00	-7.07242377769100e-03	-8.58941747555449e+01	3.01601846688091e+02	5.07577946636390e-02	1.33750844083620e+03	5.70514740280128e+02	7.66993700556077e+02	-2.30232312630194e+03	1.54455453324086e+02	-5.11522473514862e+01	-4.86957164521752e+01	5.17437084250987e+01	3.21170306138615e+02	1.00000000000000e+02	5.01962977138691e+01	4.29489661197159e+00	-2.77681613762539e+01	-1.27661430424321e+00	4.81446723884591e+02	6.14738694573324e+00	1.99015370990652e+00	3.42588710367371e+00	1.00000000000000e+00	5.40725793578957e-01	1.12662118408087e+09	
3.42892372580818e+01	-5.66036899830800e-03	3.31407575118838e+01	3.87816557302654e+01	-4.13041089065850e-02	3.96605986472391e+01	0.00000000000000e+00	0.00000000000000e+00	6.58436525528090e-01	-1.05611593723019e+02	3.30861580509167e+02	7.34771970107570e-02	1.33750849023621e+03	5.87198188513818e+02	7.50310301722391e+02	-2.30232307690194e+03	1.55171183223684e+02	-5.13912950351454e+01	-5.08240157761142e+01	5.17205790030555e+01	3.22763479550618e+02	1.00000000000000e+02	5.16843583061536e+01	1.42881765522015e+00	1.57959388265895e+01	1.22868025437295e+02	4.66795013190165e+02	2.54882674716106e+00	2.75001136200158e-01	3.42284735506177e+00	1.00000000000000e+00	1.91374824473621e-01	1.12662118408175e+09	
3.42493131979128e+01	6.61448904871430e-02	3.64632463195025e+01	3.89570714883886e+01	-1.99746267670380e-02	3.68565250352268e+01	0.00000000000000e+00	0.00000000000000e+00	6.24405463263689e-01	-7.38913045796694e+01	2.24738946944821e+02	2.56906685426410e-02	1.33766017674252e+03	5.81326041733460e+02	7.56334135009057e+02	-2.30217139039563e+03	1.53297672593400e+02	-5.07660008783110e+01	-5.02678328671948e+01	5.17236429500021e+01	3.19514098433275e+02	1.00000000000000e+02	5.18456533359260e+01	1.76535102961158e+00	-4.11292980636796e+01	1.03063202139336e+02	4.55637498379115e+02	4.92148927016814e-01	1.36480340812136e+00	3.48155121692864e+00	1.00000000000000e+00	6.83933062575405e-01	1.12662118407992e+09	
3.40880702899250e+01	4.39950064147400e-03	3.54362612879926e+01	3.90817898452974e+01	-7.93647710201310e-02	4.05765298584948e+01	0.00000000000000e+00	0.00000000000000e+00	8.63062064821879e-01	-9.80666787388442e+01	2.92350768251411e+02	5.59942424337190e-02	1.33766211108419e+03	5.80077768242141e+02	7.57584342842044e+02	-2.30216945605396e+03	1.54683916652820e+02	-5.12284950501010e+01	-5.08197761204592e+01	5.17663745045275e+01	3.23491881033759e+02	1.00000000000000e+02	5.38719165189823e+01	7.30067799532853e-01	-2.84585170166742e+00	1.47755273409377e+02	4.61722672062519e+02	3.38375157650120e+00	2.80498729064371e-01	3.43657355173971e+00	1.00000000000000e+00	1.44303235158756e-01	1.12662118408114e+09	
3.44884696363090e+01	5.67488200458890e-02	3.43411321834734e+01	3.86463618397453e+01	2.28008812616540e-02	3.69099700655101e+01	0.00000000000000e+00	0.00000000000000e+00	3.65390326766743e-01	-1.00899595210904e+02	3.15068775008516e+02	4.80068057170240e-02	1.33770217370439e+03	5.92809832035415e+02	7.44892341668978e+02	-2.30212939343375e+03	1.53500777316088e+02	-5.08339766952255e+01	-5.09289111423778e+01	5.17413162131788e+01	3.17118549961165e+02	1.00000000000000e+02	5.04148713167022e+01	2.74478263817425e+00	3.29236547800056e+00	1.44363412087398e+01	4.72957328704645e+02	3.88261572409841e+00	2.20131929479872e-01	3.46367882671900e+00	1.00000000000000e+00	1.01588596462159e+00	1.12662118408075e+09	
3.41708393733589e+01	7.09475697215240e-02	3.25691628373076e+01	3.89946137024876e+01	-2.17297742601220e-02	4.09651078434105e+01	0.00000000000000e+00	0.00000000000000e+00	1.50542203698854e-01	-1.33147002040381e+02	4.50536148479527e+02	7.34773926745000e-02	1.33771206323305e+03	5.79740660084395e+02	7.57971403148658e+02	-2.30211950390509e+03	1.55759344627002e+02	-5.15873488410523e+01	-4.96589218714510e+01	5.17280561301192e+01	3.19671653841808e+02	1.00000000000000e+02	5.23344096034847e+01	3.21823404180244e+00	3.54082364286663e+01	5.44373486023013e+01	4.71002337463423e+02	5.03682735696102e+00	5.49154594347183e-01	3.40100462015712e+00	1.00000000000000e+00	4.25053144047650e-01	1.12662118408191e+09	
