h1_cplx_snr_amp	h1_cplx_snr_arg	h1_optimal_snr	l1_cplx_snr_amp	l1_cplx_snr_arg	l1_optimal_snr	lal_approximant	using_fast_sgf	amp_beta1	amp_beta2	amp_beta3	dec	deltalogl	deltaloglh1	deltalogll1	logl	logprior	loghrss	logw	matched_filter_snr	mtotal	mtotal_ref	optimal_snr	phi_orb	phase_beta1	phase_beta2	phase_beta3	alpha	psi	ra	signalmodelflag	theta_jn	time	
3.11504013148682e+01	-4.66452012121170e-02	2.77693873411152e+01	3.55995178511811e+01	5.69663040726730e-02	3.56119809474299e+01	0.00000000000000e+00	0.00000000000000e+00	-1.80359335453805e-01	2.58828191849838e+02	4.52585483759065e+02	2.04878572215581e-01	1.11012349844236e+03	4.78517241326045e+02	6.31606257116314e+02	-2.03416494539655e+03	1.57360355768484e+02	-5.21271639581789e+01	-3.93793627066632e+01	4.71620444835862e+01	4.50726867233992e+02	1.00000000000000e+02	4.51591857798721e+01	4.36981547032317e-01	4.30183468827711e+01	3.06059983085510e+02	-1.35276692509965e+02	3.59431366329776e+00	9.66161720711885e-01	3.41213435739557e+00	1.00000000000000e+00	1.83170166854163e-01	1.12662118408726e+09	
3.10421412289958e+01	-1.79650626252100e-02	3.21705312037209e+01	3.54884312950343e+01	2.33590137041400e-03	3.44117612268598e+01	0.00000000000000e+00	0.00000000000000e+00	-4.21691083559597e-01	1.87894600028054e+02	3.66594107258618e+02	1.31134565843720e-01	1.11014092270698e+03	4.81009485784464e+02	6.29131436922516e+02	-2.03414752113193e+03	1.56531534260869e+02	-5.18467190514330e+01	-3.92737180310934e+01	4.71198684154344e+01	4.87958146690949e+02	1.00000000000000e+02	4.71074557651333e+01	4.32676466886076e+00	2.09915285591297e+01	-8.29969087697684e+00	6.88968416901744e+00	1.18829702952853e+00	1.06153821778762e+00	3.51327168478535e+00	1.00000000000000e+00	2.37296340398640e-01	1.12662118408680e+09	
3.11348247129840e+01	-5.03780066808710e-02	2.96673339728187e+01	3.54918701086687e+01	-1.21322686337400e-03	3.34360506264939e+01	0.00000000000000e+00	0.00000000000000e+00	-1.14224570152505e-01	4.35336185458638e+02	4.85451753784914e+02	1.59557237060918e-01	1.11016235691853e+03	4.82440005254020e+02	6.27722351664513e+02	-2.03412608692037e+03	1.58198353227740e+02	-5.24037122881816e+01	-4.00093893726666e+01	4.71858281346975e+01	4.89237331649125e+02	1.00000000000000e+02	4.47003376559085e+01	1.49006166034712e+00	3.33807170754210e+01	3.74044061563180e+02	-1.36673765263096e+02	2.47453800807134e-01	2.85016271126090e+00	3.49436949851163e+00	1.00000000000000e+00	3.90426301888637e-01	1.12662118408492e+09	
3.11006165934891e+01	-2.73086783166270e-02	3.16556661544608e+01	3.55073785933386e+01	2.02411940156230e-02	3.79419609119905e+01	0.00000000000000e+00	0.00000000000000e+00	6.00756553522920e-01	4.34509441599103e+02	4.76169078455688e+02	1.75157129189929e-01	1.11025045201298e+03	4.83103052765343e+02	6.27147399247639e+02	-2.03403799182593e+03	1.58046418787558e+02	-5.23539459613053e+01	-3.89521489348351e+01	4.71753059688824e+01	4.95991537668249e+02	1.00000000000000e+02	4.94132937328578e+01	1.92479108595000e-04	2.81570807859017e+01	3.39337449846942e+02	-1.12526359996791e+02	5.24332712317213e-01	1.01355068890804e+00	3.45665909805843e+00	1.00000000000000e+00	2.89551784143320e-01	1.12662118408673e+09	
3.10594830389513e+01	1.48451779419850e-02	2.89887571288125e+01	3.55178515651812e+01	2.71428816248740e-02	3.51618340135941e+01	0.00000000000000e+00	0.00000000000000e+00	-9.75017928127301e-01	1.34411013504311e+02	2.82015419302649e+02	1.65473576829390e-01	1.11033807925678e+03	4.80102580148928e+02	6.30235499107853e+02	-2.03395036458213e+03	1.55702762421058e+02	-5.15721720374343e+01	-3.72345376405128e+01	4.71505196838539e+01	4.73272332111023e+02	1.00000000000000e+02	4.55708526480778e+01	5.53307868858707e+00	7.47917664867088e+00	9.24198858934708e+01	-3.69251671074218e+01	1.76636256601643e+00	5.07365600105390e-01	3.44527525849897e+00	1.00000000000000e+00	2.18552756180867e-01	1.12662118408640e+09	
3.10728303092150e+01	-2.77865629243900e-02	3.15504148693468e+01	3.54467841680503e+01	-9.95587753965700e-03	3.50299900188472e+01	0.00000000000000e+00	0.00000000000000e+00	-6.55827715605983e-01	4.31082726843014e+02	4.43585297881976e+02	1.41314731867661e-01	1.11035676509633e+03	4.82267907705898e+02	6.28088857390429e+02	-2.03393167874258e+03	1.57983717209251e+02	-5.23312451823159e+01	-3.99059691796886e+01	4.71244511998211e+01	4.75646634263792e+02	1.00000000000000e+02	4.71437045547805e+01	5.08902137917564e+00	2.61324398457052e+01	4.95938576120999e+02	-1.80213977532337e+02	8.73126792878410e-01	2.41297666421990e+00	3.49858956242570e+00	1.00000000000000e+00	2.85347118659814e-01	1.12662118408674e+09	
3.11772953306497e+01	4.01313236216530e-02	3.15508035135503e+01	3.55252748354356e+01	-3.95548083571100e-02	3.23918741449036e+01	0.00000000000000e+00	0.00000000000000e+00	9.62306120239024e-01	4.48600054277698e+02	4.80659513634041e+02	9.58250484255410e-02	1.11036350066139e+03	4.85150113574675e+02	6.25213387086718e+02	-2.03392494317752e+03	1.58255961767818e+02	-5.24201866771527e+01	-3.99022166627261e+01	4.71647761867467e+01	4.98472488595180e+02	1.00000000000000e+02	4.52182121823711e+01	1.54874129520748e+00	3.30399443656302e+01	4.84916029709006e+02	-1.66564251818207e+02	1.32171902610227e+00	1.31756012918215e+00	3.52851598663103e+00	1.00000000000000e+00	2.57846375691182e-01	1.12662118408332e+09	
3.10778795679786e+01	3.35904188548760e-02	3.31093497079449e+01	3.55071960755675e+01	1.70898065819700e-02	3.53148906109874e+01	0.00000000000000e+00	0.00000000000000e+00	1.16282013751859e-01	1.81244536620209e+02	4.68961068811283e+02	1.23460699225336e-01	1.11045230507148e+03	4.80273417468648e+02	6.30178887602829e+02	-2.03383613876743e+03	1.56733799684280e+02	-5.19138134655777e+01	-3.93477866259432e+01	4.71434475355784e+01	4.43922668488796e+02	1.00000000000000e+02	4.84083725914123e+01	2.06373474031298e+00	2.65548745814084e+01	-9.21841524908618e+01	-5.08869845067029e+00	5.38097919110317e+00	7.49299721813564e-01	3.51174753332271e+00	1.00000000000000e+00	1.07365420926750e-01	1.12662118408319e+09	
3.11059190507645e+01	-5.02078427242600e-03	3.06288527541546e+01	3.54233212804745e+01	-1.94639618324740e-02	3.62826528832910e+01	0.00000000000000e+00	0.00000000000000e+00	-6.69655020691608e-01	2.50499600299076e+02	4.22762902638544e+02	1.55209331083662e-01	1.11045646682064e+03	4.83663295447544e+02	6.26793171373094e+02	-2.03383197701827e+03	1.56932650360003e+02	-5.19815813338688e+01	-3.99199516956681e+01	4.71278946329725e+01	4.47191159330063e+02	1.00000000000000e+02	4.74821810923326e+01	3.60986457527709e+00	3.43651426311194e+01	4.04372580870537e+02	-1.76709917772567e+02	4.16999894319707e+00	2.71322270322622e+00	3.45689332784409e+00	1.00000000000000e+00	1.33611024214940e-02	1.12662118408604e+09	
3.11323157032384e+01	8.63448588740060e-02	3.26248956360926e+01	3.55742536033223e+01	4.34354644755860e-02	3.68006194985362e+01	0.00000000000000e+00	0.00000000000000e+00	-1.46566731298598e-01	2.25991321515869e+02	4.68380651652552e+02	1.32123026982917e-01	1.11048981081303e+03	4.79712795014968e+02	6.30777015798066e+02	-2.03379863302587e+03	1.56953621748168e+02	-5.19874585027461e+01	-4.02021401578765e+01	4.71701087785867e+01	4.56619437808207e+02	1.00000000000000e+02	4.91799696089981e+01	3.23096523796325e+00	-3.08561318402220e+01	1.91244142109949e+02	-8.29795483703545e+01	1.07087013264483e+00	5.94120438505017e-01	3.48081611073941e+00	1.00000000000000e+00	3.68542246492690e-02	1.12662118408609e+09	
